A1    = Austrian bundesliga (#1)
A2    = Austrian erste liga (#2)
ALB1  = Albanian kategoria superiore (#1)
ALG1  = Algerian ligue professionnelle (#1)
ALG2  = Algerian ligue professionnelle (#2)
ARM1  = Armenian bardsragujn chumb (#1)
ARM2  = Armenian first league (#2)
AR1N  = Argentine primera division (#1)
ARG2  = Argentine primera B nacional (#2)
AUS1  = Australian A-league (#1)
AZ1   = Azerbaijani premyer liqasi (#1)
BE1   = Belgian jupiler pro league (#1)
BE2   = Belgian proximus league (#2)
BOS1  = Bosnian premijer liga (#1)	
BOS2  = Bosnian prva liga (#2)	
BRA1  = Brazilian Serie A (#1)	
BRA2  = Brazilian Serie B (#2)	
BU1   = Bulgarian parva liga (#1)
BU2   = Bulgarian vtora liga (#2)
C1    = Swiss super league (#1)
C2    = Swiss challenge league (#2)
CLPD  = Chilean primera division apertura (#1)
CSL   = Chinese super league (#1)
CLO   = Chinese league one (#2)
COLP  = Colombian liga aguila (#1)
CRPD  = Costa Rican primera division invierno (#1)
PDV1  = Costa Rican primera division verano (#2)
DK1   = Danish superligaen (#1)
DK2   = Danish 1 division (#2)
ECPE  = Ecuadorian serie A primera etapa (#1)
ECPE  = Ecuadorian serie A segunda etapa (#2)
EGY1  = Eqyptian premier league (#1)
ES1   = Spanish la liga 1 (#1)
ES2   = Spanish la liga 2 (#2)
ES3A  = Spanish segunda division (group A)
ES3B  = Spanish segunda division (group B)
ES3C  = Spanish segunda division (group C)
ES3D  = Spanish segunda division (group D)
EST1  = Estonian premium liga (#1)
FR1   = French ligue 1 (#1)
FR2   = French ligue 2 (#2)
FR3   = French championnat national (#3)
FI1   = Finnish Veikkausliiga (#1)
FI2   = Finnish Ykkonen (#2)
FI3A  = Finnish Kakkonen A (#3)
FI3B  = Finnish Kakkonen B (#3)
FI3C  = Finnish Kakkonen C (#3)
GB1   = English premier league (#1)
GB2   = English championship (#2)
GB3   = English league 1 (#3)
GB4   = English league 2 (#4)
CNAT  = English national league (#5)
GEO1  = Georgian umaglesi liga (#1)
GHPL  = Ghanian premier league (#1)
GR1   = Greek super league (#1)
GR2   = Greek football league (#2)
HGKG  = Hong Kong premier league (#1)
INIL  = Indian I-league (#1)
IN1L  = Indonesian Liga 1 (#1)
IR1   = Republic of Ireland (#1)
IR2   = Republic of Ireland (#2)
IRN1  = Iranian persian gulf pro league (#1)
IRN2  = Iranian azadegan league (#2)
IS1   = Iceland Pepsidelid (#1)
IS2   = Iceland Inkasso-Deildin (#2)
ISR1  = Israeli ligat haal (#1)
ISR2  = Israeli ligat leumit (#2)
IT1   = Italian serie A (#1)
IT2   = Italian serie B (#2)
IT3A  = Italian serie C girone A (#3A)
IT3B  = Italian serie C girone B (#3B)
IT3C  = Italian serie C girone C (#3C)
JAP1  = Japanese J1 league (#1)
JAP2  = Japanese J2 league (#2)
JAP3  = Japanese J3 league (#3)
KAS1  = Kazakstan Premier League (#1)
KR1   = Croatian 1 HNL (#1)
KR2   = Croatian 2 HNL (#2)
L1    = German bundesliga 1 (#1)
L2    = German bundesliga 2 (#2)
L3    = German liga 3 (#3)
RLW3  = German regionalliga west (#4)
RLN3  = German regionalliga north (#4)
RLN4  = German regionalliga north east (#4)
RLSW  = German regionalliga south west (#4)
RLB3  = German regionalliga bayern (#4)
LIB1  = Lebanese premier league (#1)
LUX1  = Luxembourgian ligue (#1)
MAR1  = Moroccan Botola league (#1)
MAZ1  = Macedonian prva liga (#1)
MEX1  = Mexican liga mx clausura (winter)
MLS1  = American major league soccer (#1)
MNE1  = Montengrin prva liga (#1)
MOL1  = Moldovan divizia nationala (#1)
NIR1  = Northern Irish premiership (#1)
NL1   = Dutch eredivisie (#1)
NL2   = Dutch jupiler league (#2)
NZ1   = New Zealand premiership (#1)
NO1   = Norweigan Eliteserien (#1)
NO2   = Norweigan OBOS Ligaen (#2)
NO31  = Norweigan Postnord Ligaen AVD 1 (#3)
NO32  = Norweigan Postnord Ligaen AVD 2 (#3)
PL1   = Polish ekstraklasa (#1)
PL2   = Polish 1 liga (#2)
PL3   = Polish 2 liga (#3)
PO1   = Portugeuse liga nos (#1)
PO2   = Portugeuse liga pro (#2)
QSL   = Qatari stars league (#1)
RO1   = Romanian liga 1 (#1)
RSK1  = South Korean k-league classic (#1)
RSK2  = South Korean k-league challenege (#2)
RU1   = Russian premier liga (#1)
RU2   = Russian division one (#2)
SA1   = Saudi professional league (#1)
SC1   = Scottish premiership (#1)
SC2   = Scottish championship (#2)
SC3   = Scottish league one (#3)
SC4   = Scottish league two (#4)
SE1   = Swedish Allsvenskan (#1)
SE2   = Swedish Superettan (#2)
SE3N  = Swedish Division 1 Norra (#3)
SE3S  = Swedish Division 1 Sodra (#3)
SER1  = Serbian superliga (#1)
SER2  = Serbian prva liga (#2)
SFA1  = South African premiership (#1)
SL1   = Slovenian prva liga (#1)
SL2   = Slovenian druga liga (#2)
SLO1  = Slovakian fortuna liga (#1)
THA1  = Thai league (#1)
TR1   = Turkish super lig (#1)
TR2   = Turkish lig 1 (#2)
TS1   = Czech liga (#1)
TS2   = Czech liga (#2)
UAE1  = UAE gulf league (#1)
UKR1  = Ukranian premier liga (#1)
UKR2  = Ukranian liga 1 (#2)
UNG1  = Hungarian NB 1 (#1)
UNG2  = Hungarian NB 2 (#2)
URU1  = Uruguayan primera division apertura (#1) 
URU2  = Uruguayan campeonato especial (#2)
UZ1   = Uzbekistan superligasi (#1)
VIE1  = Vietnamese V league 1 (#1)
WER1  = Belarussian Vysheyshaya Liga (#1)
